feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Meta.M00247	0.05015274643576562	0.07194426676948777	1	Meta
Meta.M00611	0.06525503086763441	0.07179214625409029	4	Meta
Meta.M00236	0.05431322946711273	0.07154147501179617	2	Meta
Meta.M00149	0.08825708971343524	0.07129609575867268	2	Meta
Meta.M00260	0.05842060723538141	0.07102802546164821	3	Meta
Meta.M00612	0.06525503086763446	0.06811980684006563	4	Meta
Meta.M00614	0.11429570596200257	0.06790908776324119	6	Meta
Prs.Quant.macrophage_migration_inhibitory_factor_measurement	0.12984089358959178	0.0673991046621618	16	Prs
Meta.M00165	0.06525503086763447	0.06710462431984572	4	Meta
Prs.Disease.hypospadias	0.10711194382134383	0.06705406730934803	14	Prs
Meta.M00251	0.051787395258846944	0.06521352011731517	2	Meta
Meta.M00039	0.05900449332692535	0.06454609517739651	3	Meta
Prs.Quant.basophil_percentage_of_leukocytes	0.12242750312031433	0.06409624853408084	15	Prs
Meta.M00159	0.05015274643576565	0.06399960043444805	1	Meta
Meta.M00173	0.11251276618639003	0.06359573833623842	6	Meta
Meta.M00740	0.09910726437944162	0.06318043966026313	5	Meta
Prs.Quant.P_wave_terminal_force_measurement	0.053170687718818506	0.06312523068602101	9	Prs
Meta.M00625	0.06084662129776932	0.06227343268064274	4	Meta
Meta.M00350	0.055976272842066924	0.06060743107150555	2	Meta
Meta.M00024	0.056664854012722435	0.05972486058752339	2	Meta
Meta.M00525	0.051896170677570935	0.05917758933151893	2	Meta
Meta.M00140	0.050152746435765665	0.058389008128952764	1	Meta
Meta.M00518	0.059486340288720164	0.05716331225258636	6	Meta
Meta.M00016	0.05274002001280244	0.05627786592025792	2	Meta
Prs.Quant.skin_aging_measurement	0.04575491260117392	0.0541342492661316	10	Prs
Meta.M00793	0.05015274643576564	0.05412126365596993	1	Meta
Meta.M00221	0.05015274643576562	0.0535709649893597	1	Meta
Meta.M00141	0.05543082888462326	0.05302332352230843	2	Meta
Meta.M00167	0.05583334144095866	0.05232860105252599	2	Meta
Meta.M00374	0.07534492057930248	0.051873326003682614	3	Meta
Meta.M00245	0.050448754168811394	0.050741826659785334	2	Meta
Meta.M00012	0.09153850942070152	0.048836204267229226	6	Meta
Meta.M00011	0.08408950647697506	0.04789153229174589	4	Meta
Meta.M00199	0.045020014744523856	0.04571281762161382	1	Meta
Meta.M00153	0.05820537525435699	0.045596694945656824	2	Meta
Meta.M00468	0.046529613968003494	0.044484406117206984	3	Meta
Meta.M00207	0.06281333407283848	0.04380122380900637	3	Meta
Meta.M00333	0.04323707496891134	0.043645550698926415	1	Meta
Prs.Quant.Microalbuminuria	0.04463191369820769	0.043038815514507424	5	Prs
Meta.M00038	0.04502001474452387	0.04265111939253439	1	Meta
Meta.M00493	0.05865285104149135	0.040390646260154386	2	Meta
Meta.M00695	0.05881922247497812	0.04032909687693824	2	Meta
Meta.M00196	0.045020014744523884	0.040291342427593746	1	Meta
Prs.Disease.thyroid_carcinoma	0.04265310750957604	0.04015387694028464	9	Prs
Prs.Quant.sleep_duration	0.03167130554511902	0.039646247920801174	5	Prs
Prs.Quant.stem_Cell_Factor_measurement	0.030733022474781137	0.038080575073932074	5	Prs
Prs.Quant.docosapentaenoic_acid_measurement	0.0414694094780714	0.03677991628054015	6	Prs
Meta.M00095	0.05686991126587884	0.03609688246004882	2	Meta
Meta.M00777	0.046592528411751995	0.03528569421534424	2	Meta
Meta.M00023	0.0568699112658788	0.035043744918727686	2	Meta
Meta.M00760	0.048801158334588646	0.03497646171611774	2	Meta
Meta.M00841	0.059762773073235693	0.033262736927077936	2	Meta
Prs.Quant.gout	0.022306716125079326	0.03308493051755588	3	Prs
Meta.M00346	0.059383652362563474	0.032169686646483085	5	Meta
Meta.M00093	0.0597627730732357	0.03120718199631141	2	Meta
Meta.M00454	0.048665814393198864	0.029206479655658875	2	Meta
Prs.Quant.cartilage_thickness_measurement	0.03268853340683269	0.028905823162355924	8	Prs
Prs.Quant.heart_rate_variability_measurement	0.05116503167405506	0.025880730888973757	7	Prs
Prs.Quant.glucose_tolerance_test	0.04276892438104997	0.025623081254525715	5	Prs
Prs.Quant.emphysema_imaging_measurement	0.028270436679718732	0.024962076813911268	6	Prs
surveyHealth.Regularity_of_defecation	0.016339551468510342	0.024016436069624114	4	surveyHealth
Prs.Quant.C-X-C_motif_chemokine_10_measurement	0.02970809822527864	0.023344843045644856	7	Prs
Prs.Disease.Abdominal_Aortic_Aneurysm	0.02636348980033067	0.02222487010944504	4	Prs
Prs.Quant.peak_insulin_response_measurement	0.02379245047671734	0.021420879690030866	5	Prs
Prs.Quant.irritable_bowel_syndrome	0.01994704908253276	0.019669117384981012	4	Prs
Meta.M00464	0.03870317651171028	0.01895269130114988	5	Meta
Meta.M00126	0.03149399838976999	0.017135676829568208	2	Meta
Meta.M00119	0.031493998389769996	0.017105398010395	2	Meta
Prs.Quant.interleukin_1_receptor_antagonist_measurement	0.03319488749504242	0.017049993624723526	4	Prs
Meta.M00490	0.030333327851425736	0.01664784463698599	3	Meta
Prs.Disease.eosinophilic_esophagitis	0.020327971083732514	0.016448818242137068	5	Prs
Prs.Quant.radius_bone_mineral_density	0.022943716288101018	0.016268417962654307	5	Prs
Prs.Quant.plasma_beta-amyloid_1-40_measurement	0.013697924289354124	0.015102446757147933	2	Prs
Meta.M00048	0.032107845610391095	0.0149306414294502	2	Meta
Meta.M00049	0.02856981447662003	0.014852457573998976	4	Meta
Meta.M00017	0.03344514010954165	0.014821514612403464	3	Meta
Prs.Disease.myocardial_infarction	0.030490160139590407	0.014121198238585675	4	Prs
Meta.M00521	0.013333281816489373	0.014054713055530662	3	Meta
Meta.M00546	0.014248376462817514	0.013893163237693186	4	Meta
Meta.M00075	0.014968300285445655	0.011707840422397914	1	Meta
Prs.Disease.insomnia	0.013425540309545911	0.0116972723395617	2	Prs
Meta.M00223	0.00942168942667575	0.011430071880898077	2	Meta
Prs.Quant.late-onset_Alzheimers_disease	0.007882441999602027	0.01107767089398571	2	Prs
Meta.Alistipes_indistinctus	0.010289517080740477	0.010939044093904164	3	Meta
Prs.Disease.white_matter_lesion_progression_measurement	0.009771788201366685	0.010615356196074684	4	Prs
Meta.M00168	0.02376234380013916	0.010534179317681502	2	Meta
Meta.M00032	0.015580992950784361	0.010510581365309302	2	Meta
Meta.M00835	0.005919416902553796	0.009712048738684986	2	Meta
Meta.M00527	0.018169421083103546	0.00941926959443647	2	Meta
Meta.M00051	0.017862992603474893	0.00892060432294519	2	Meta
Prs.Quant.BMI-adjusted_leptin_measurement	0.019208848721926585	0.008629575498938365	2	Prs
Meta.M00253	0.0067673805143230745	0.008453471131632709	1	Meta
Meta.M00526	0.018169421083103553	0.008034855728724003	2	Meta
Meta.M00120	0.014908977781666923	0.008020981202742312	4	Meta
Meta.Alistipes_senegalensis	0.008367609878645097	0.008004503964704432	4	Meta
Meta.M00242	0.010109032868407693	0.007973057928213413	4	Meta
Meta.M00471	0.013632836296967488	0.007953035526618637	1	Meta
Skin.Number_of_wrinkles_on_frontal_face	0.010093282912460083	0.007528328374985473	4	Skin
Meta.M00066	0.009603963224898131	0.007497751484803428	2	Meta
Meta.M00701	0.007380073179661774	0.007313504711557677	2	Meta
Meta.M00194	0.013632836296967467	0.0071252255333757505	1	Meta
Meta.M00003	0.015582147506066773	0.006877208084960779	1	Meta
Meta.M00506	0.013632836296967486	0.006824597560366692	1	Meta
Prs.Disease.androgenetic_alopecia	0.009156212010731109	0.006794879752547097	3	Prs
Meta.M00081	0.0062401244082939756	0.006744598998844361	2	Meta
Meta.Subdoligranulum_unclassified	0.0059912337667604966	0.0067213216787367575	2	Meta
Meta.M00022	0.016525698104324336	0.006683861968245407	1	Meta
Meta.M00197	0.01363283629696747	0.0061764288027412765	1	Meta
Prs.Disease.alcohol_dependence	0.005922127706363953	0.006158534426808673	1	Prs
Meta.M00364	0.005823526406301285	0.006104122896989519	1	Meta
Prs.Quant.heel_bone_mineral_density	0.007571214844298501	0.006022801415057883	1	Prs
Skin.Number_of_wrinkles_on_side_face	0.007173086368165637	0.005861861276693773	3	Skin
Prs.Quant.erythrocyte_cadmium_measurement	0.00878672656774217	0.004946656281130589	2	Prs
Prs.Quant.cutaneous_melanoma	0.010507000168223818	0.004409230724748085	5	Prs
Meta.M00150	0.008105611736592515	0.004134148112819714	2	Meta
Meta.M00026	0.00860172093496583	0.004059860631597914	3	Meta
Meta.M00037	0.003782510420158074	0.003809364217033137	2	Meta
Meta.M00061	0.004784393438467794	0.0037365511779886436	2	Meta
Prs.Quant.selenium_measurement	0.004813870050218772	0.0033503837353330334	4	Prs
Prs.Disease.stroke	0.005999730032599474	0.0032556477275193342	3	Prs
Meta.M00660	0.00416048303134708	0.0031165840422386036	1	Meta
Meta.M00542	0.004160483031347091	0.003018342424056243	1	Meta
Meta.M00186	0.0037811435900647968	0.0029416885234770304	1	Meta
Meta.M00622	0.002538791147356238	0.002882335838883503	1	Meta
Meta.M00243	0.004085567416947332	0.002815691651443147	2	Meta
Meta.M00214	0.0041604830313470825	0.0027415334137261805	1	Meta
Meta.M00239	0.0035981630203744657	0.0025294363904946955	1	Meta
Meta.Bacteroides_intestinalis	0.0037918452912278477	0.002517362865367934	2	Meta
Meta.M00450	0.006512107576956809	0.002501973128547137	1	Meta
Prs.Quant.cancer_biomarker_measurement	0.003933385673504959	0.0023282889401423385	4	Prs
Meta.M00529	0.004224930021538728	0.002325364739575589	1	Meta
Meta.M00412	0.0035288481559346565	0.0022625392503870492	2	Meta
Meta.M00375	0.003781143590064791	0.002240587113594045	1	Meta
Meta.M00668	0.0046443065214232405	0.002076297394401686	2	Meta
Prs.Quant.pulse_pressure_measurement	0.0023516429345008874	0.0016858479333802918	2	Prs
Meta.M00282	0.002920196544294444	0.0016595822335655763	1	Meta
Prs.Disease.migraine_without_aura	0.0029923600991294194	0.0015617215968519924	2	Prs
Prs.Quant.interleukin-1_beta_measurement	0.0007534028300393777	0.0012713779616362383	1	Prs
Prs.Disease.amyotrophic_lateral_sclerosis	0.00106500033145437	0.0010537344247151153	1	Prs
Prs.Quant.urinary_uromodulin_measurement	0.0013096140069174336	0.000994497833264788	1	Prs
Meta.M00157	0.0013372944991505487	0.0005100279559057505	1	Meta
Meta.M00570	0.0013372944991505563	0.00044826257753866874	1	Meta
Meta.M00336	0.0006126926653386963	0.00031023442090737655	1	Meta
