feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Hormone.Serum_estradiol_test_value(ng/mL)	0.01188059263953192	0.0407300663605495	3	Hormone
Meta.M00274	0.04519954168675822	0.040238845522197364	3	Meta
Prs.Disease.Dupuytren_Contracture	0.050894072755282974	0.04013133676636894	6	Prs
Meta.M00519	0.030722266268477905	0.03788179169296899	3	Meta
Meta.M00227	0.04284541437560382	0.03755182305214143	3	Meta
Hormone.Serum_estrone_test_value(ng/mL)	0.011880592639531925	0.03642816932508267	3	Hormone
Meta.M00503	0.02802835189128934	0.03619871636920273	2	Meta
Prs.Quant.hematocrit	0.04674869293358724	0.034792088457088866	4	Prs
Meta.M00219	0.04308309245608677	0.03453051577953761	2	Meta
Amino.β-Alanine(μmol/L)	0.012672234142329637	0.032191012442213514	3	Amino
Prs.Quant.rosacea_severity_measurement	0.05725939363416861	0.029970072898922732	5	Prs
Amino.Lysine(μmol/L)	0.011634069063583065	0.02941154476144653	3	Amino
Prs.Quant.adiponectin_measurement	0.04068050007603975	0.028574504444760028	4	Prs
Prs.Quant.PR_interval	0.04678863834234094	0.027287590395126578	6	Prs
Prs.Quant.erythrocyte_count	0.04629575492360575	0.027158324698609283	4	Prs
Meta.M00472	0.023332130051424847	0.02649929131136418	1	Meta
Amino.L-homocitrulline(μmol/L)	0.01880116526176152	0.026274387277121905	5	Amino
Prs.Disease.susceptibility_to_childhood_ear_infection_measurement	0.05071814412414463	0.024737700877375594	20	Prs
Meta.M00842	0.01456661557061011	0.02365077834798117	3	Meta
Prs.Quant.vitamin_D_measurement	0.04135056747100574	0.021649554411054827	8	Prs
Meta.M00473	0.04984590187136261	0.021615508196638693	6	Meta
Microelement.Zinc(mg/l)	0.012672234142329653	0.021505693847838726	3	Microelement
Meta.M00317	0.034211917877380094	0.02106602522555364	3	Meta
Prs.Quant.macrophage_inflammatory_protein_1b_measurement	0.033458523328907204	0.021013892501830153	2	Prs
Prs.Disease.acne	0.041881785813025305	0.020861802906362827	6	Prs
Prs.Quant.serum_iron_measurement	0.03175540280763396	0.019240606088642788	3	Prs
Prs.Quant.heart_rate_response_to_recovery_post_exercise	0.035324220014369356	0.0190423726078291	4	Prs
Meta.M00280	0.03509356213368254	0.018750550842143325	4	Meta
Meta.M00283	0.02668330307412679	0.018517561395761366	3	Meta
Meta.Alistipes_putredinis	0.03312492360990872	0.01793701065053318	7	Meta
Meta.M00278	0.026047219871068655	0.017838576703127676	3	Meta
Prs.Quant.cardiac_troponin_T_measurement	0.03334661454306373	0.017625768993140136	11	Prs
Meta.M00551	0.03137269938279153	0.01751404190337452	4	Meta
Prs.Disease.uterine_fibroid	0.03211025069131186	0.01739090531822283	13	Prs
Meta.M00615	0.03882479721671713	0.016771469707426892	4	Meta
Meta.M00766	0.039920296918950424	0.016656445672841816	4	Meta
Meta.M00287	0.02957994605026782	0.016642558160506037	5	Meta
Prs.Quant.interleukin_4_measurement	0.03534419590340099	0.016470554447350766	4	Prs
Prs.Disease.basal_cell_carcinoma	0.03130803094696043	0.016341618644564	2	Prs
Meta.M00538	0.03273960424907264	0.016336941621762323	3	Meta
Meta.M00537	0.03273960424907261	0.01627522063527656	3	Meta
Prs.Quant.corneal_topography	0.031308030946960434	0.01619369404258006	2	Prs
Prs.Disease.gallstones	0.03130803094696043	0.016066535068835718	2	Prs
Prs.Quant.uric_acid_measurement	0.017881448794609702	0.01497210924487031	4	Prs
Skin.Number_of_brown_spots_on_frontal_face	0.03489573512233171	0.014787700891918653	3	Skin
Meta.M00804	0.030091529379181376	0.014220648334401637	3	Meta
Meta.M00447	0.026100819695270457	0.014184427102134693	3	Meta
Meta.M00331	0.03036229490133407	0.014012545727735935	5	Meta
Meta.M00277	0.029208982185337438	0.013901764059936081	4	Meta
Prs.Quant.nicotine_dependence	0.03419488353087403	0.013881833004290675	3	Prs
Meta.M00767	0.02337789895724645	0.013641346787885863	4	Meta
Prs.Quant.hippocampal_sclerosis_of_aging	0.02053121735449879	0.013618273257243775	1	Prs
Prs.Disease.circadian_rhythm	0.02027252546566926	0.013596434232959333	5	Prs
Meta.M00276	0.01975096240466192	0.013307503588184956	1	Meta
Prs.Disease.squamous_cell_carcinoma	0.028940737444202717	0.011924088512365849	9	Prs
Meta.M00334	0.02399582860030594	0.011845827406263236	2	Meta
Meta.M00191	0.019750962404661915	0.011791223691394959	1	Meta
Meta.M00728	0.023679175643372227	0.011766694282064224	3	Meta
Vitamin.B1(ng/mL)	0.005963325683006052	0.011296109716404731	1	Vitamin
Meta.M00064	0.01492054022803814	0.010781755715820417	1	Meta
Meta.M00092	0.01420987030924048	0.010340352222522012	3	Meta
Meta.M00453	0.012412282209728946	0.01029568179518874	2	Meta
Prs.Disease.migraine_disorder	0.014251363774678531	0.009607260270954097	1	Prs
Meta.M00266	0.019750962404661936	0.009333692525580724	1	Meta
Prs.Quant.TNF-related_apoptosis-inducing_ligand_measurement	0.01978090466996538	0.0085835133964704	2	Prs
Meta.M00220	0.010865440949725736	0.008532303158613374	2	Meta
Meta.M00118	0.020084574041881006	0.00822749583791196	4	Meta
Meta.M00456	0.013801596814657684	0.008182270549221412	4	Meta
Prs.Quant.fibroblast_growth_factor_basic_measurement	0.01560962934097282	0.007781465039019712	3	Prs
Prs.Disease.pulmonary_function_measurement	0.013634796557079065	0.007521069476055503	7	Prs
Meta.M00217	0.01167000325517366	0.00749692801798384	1	Meta
Prs.Quant.high_density_lipoprotein_cholesterol_measurement	0.014824487886721112	0.007496595157617073	4	Prs
Meta.M00230	0.01525488631414748	0.007317491114877385	3	Meta
Meta.M00533	0.016161278992927616	0.007263964677324202	2	Meta
Meta.M00272	0.011670003255173679	0.007212273357558738	1	Meta
Prs.Quant.interleukin_10_measurement	0.017171969978847915	0.007101206158364666	2	Prs
Meta.M00256	0.012141494142590326	0.006991568171918033	1	Meta
Meta.M00134	0.010879458023574326	0.0069261673998399845	2	Meta
Meta.M00169	0.016345737588375785	0.006817391922555847	2	Meta
Meta.M00265	0.011670003255173672	0.0067856326225889845	1	Meta
Meta.M00540	0.013080267677206053	0.006765344980448883	3	Meta
Meta.M00303	0.011670003255173662	0.006736548455537985	1	Meta
Meta.M00505	0.015099634370184817	0.006701136199281428	2	Meta
Meta.M00774	0.010865440949725727	0.006690631398030965	2	Meta
Meta.M00047	0.009368709106729729	0.006676897635809295	2	Meta
Meta.M00215	0.01365853444008974	0.00630292533143283	2	Meta
Prs.Disease.Graves_disease	0.010722339848247539	0.006289736448776647	7	Prs
Meta.M00543	0.010197689626866211	0.005942460166577172	1	Meta
Prs.Disease.atrial_fibrillation	0.0081458463494121	0.005759825532275853	4	Prs
Meta.M00259	0.005109118525719063	0.005676247310910451	1	Meta
Meta.Veillonella_unclassified	0.007309053297395359	0.005606647373774518	1	Meta
Meta.M00052	0.014828968616411167	0.005498824053489155	2	Meta
Prs.Quant.birth_weight	0.008868833377147826	0.00548660377487677	6	Prs
surveyHealth.Milk_Diet	0.012470876513380625	0.0053682161500070245	2	surveyHealth
Prs.Quant.triglyceride_measurement	0.012468510884496168	0.005356349112357294	3	Prs
Prs.Disease.aggressive_periodontitis	0.012100871392731735	0.0051808822714477214	1	Prs
Prs.Quant.stromal_cell-derived_factor_1_alpha_measurement	0.010753826967572062	0.0051587616487735995	2	Prs
Prs.Quant.neutrophil_percentage_of_granulocytes	0.004376133786205118	0.005064724101692029	1	Prs
Prs.Quant.optic_cup_area_measurement	0.009020616290600006	0.004986263836734697	5	Prs
Meta.M00367	0.008687325430880737	0.00474299431941392	4	Meta
Meta.M00188	0.008065586866900069	0.004703717042233128	2	Meta
Meta.M00222	0.010197689626866206	0.004480277084076194	1	Meta
Meta.M00365	0.008687325430880737	0.004408564603543993	4	Meta
Meta.Bacteroidales_bacterium_ph8	0.008798115448011274	0.004188136234890355	4	Meta
Meta.M00250	0.005109118525719067	0.003674777436863378	1	Meta
Prs.Quant.interferon_gamma_measurement	0.007978368756742365	0.003461954887586	6	Prs
Meta.Bacteroides_plebeius	0.006855171901606402	0.0028626876716213415	5	Meta
Meta.Bacteroides_nordii	0.004430818832187608	0.002839700800919871	3	Meta
Meta.M00608	0.005345249876194331	0.0027095100317305527	2	Meta
Meta.M00713	0.006063380360078982	0.0026370870054599326	5	Meta
Meta.M00714	0.00606338036007897	0.0025008735594922627	5	Meta
Vitamin.25-hydroxyD3(ng/mL)	0.0034608448132235413	0.002332728636116711	1	Vitamin
Meta.M00761	0.00605378480664327	0.0021216895422313904	3	Meta
Meta.M00332	0.004792337507969815	0.002094891666537785	1	Meta
Prs.Quant.stem_Cell_Growth_Factor_beta_measurement	0.004432318452274301	0.0020914445448793535	2	Prs
Vitamin.25-hydroxyD2(ng/mL)	0.0015735676499325144	0.002030482828074034	1	Vitamin
Meta.M00530	0.004244866195644043	0.001998048912740504	1	Meta
ECG.P-R_interval	0.003915985347442305	0.001932316633208241	1	ECG
Meta.Bacteroides_ovatus	0.0034608448132235465	0.0019035369958312497	1	Meta
Meta.M00232	0.003915985347442302	0.0018636586898448675	1	Meta
Meta.M00114	0.004244866195644031	0.001840374320221838	1	Meta
Prs.Quant.QRS_duration	0.002772397746274282	0.0018236911567507596	1	Prs
Meta.M00086	0.004244866195644024	0.0017770023965982742	1	Meta
Prs.Quant.cup-to-disc_ratio_measurement	0.004420863266549764	0.001507613310307627	4	Prs
Meta.M00724	0.0035848830589737973	0.0014644895847829105	2	Meta
Prs.Disease.Frontotemporal_dementia	0.002836110501532767	0.0014119920447122083	2	Prs
Meta.M00545	0.004244866195644032	0.0013868364766361529	1	Meta
Meta.M00504	0.003663937069020529	0.0013077910329558928	2	Meta
Meta.M00498	0.0026874744738208355	0.0012061294673867415	1	Meta
Meta.M00554	0.00268747447382083	0.001041870738734657	1	Meta
Meta.M00744	0.002067541676225481	0.0009480537601249632	3	Meta
Meta.M00444	0.002067541676225482	0.0008862353937641914	3	Meta
Meta.M00509	0.001696713464887716	0.0008748217096447782	1	Meta
Meta.M00269	0.0024222013674869976	0.000774601610060967	1	Meta
Prs.Disease.hypertension	0.0011892982119482993	0.000773508297614765	1	Prs
Prs.Quant.osteoporosis	0.0018509448981060335	0.0007642988230495906	5	Prs
Prs.Quant.platelet_count	0.001895351030315202	0.0006343335893194513	4	Prs
Meta.M00349	0.0011411672881397044	0.0005218351960814056	1	Meta
Meta.M00244	0.0008974085851529693	0.0004996842621633953	1	Meta
surveyHealth.Soy_Milk_Edible	0.0007422789545552775	0.00047468632060319844	1	surveyHealth
Prs.Quant.optic_disc_area_measurement	0.0010947558719230646	0.00046723323420444415	1	Prs
Meta.M00358	0.0006817683967081257	0.0004530072671074744	1	Meta
Prs.Disease.primary_biliary_cirrhosis	0.00037083835389833123	0.00024603970698758385	1	Prs
Prs.Quant.C-C_motif_chemokine_7_measurement	0.0003460867080629885	0.0001373514336844753	2	Prs
Meta.Dorea_formicigenerans	0.00037000512064888294	0.00011820402211147898	1	Meta
Meta.M00704	0.0001549152391841895	6.346586975151963e-05	1	Meta
Meta.Haemophilus_parainfluenzae	0.00015491523918418403	5.15333518516868e-05	1	Meta
